Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100
18-Mar-26,09.55,142.61,142.75,142.36,142.43,143.706477161524,141.1726610817557,,143.706477161524
18-Mar-26,10.00,142.45,142.48,142.21,142.22,143.7035071771853,141.1726610817557,,143.7035071771853
18-Mar-26,10.05,142.2,142.2,141.95,141.96,143.70002364636173,141.1726610817557,,143.70002364636173
18-Mar-26,10.10,141.96,141.96,141.48,141.82,143.69626735536,141.1726610817557,,143.69626735536
18-Mar-26,10.15,141.72,142.0,141.72,142.0,143.69287820979483,141.1726610817557,,143.69287820979483
18-Mar-26,10.20,142.0,142.35,141.95,142.05,143.6895957358492,141.1726610817557,,143.6895957358492
18-Mar-26,10.25,141.99,142.08,141.51,141.83,143.6858802598535,141.1726610817557,,143.6858802598535
18-Mar-26,10.30,141.81,142.26,141.67,141.75,143.6820123672264,141.1726610817557,,143.6820123672264
18-Mar-26,10.35,141.89,142.48,141.83,142.28,143.67921114371546,141.1726610817557,,143.67921114371546
18-Mar-26,10.40,142.3,142.46,142.1,142.12,143.67609583673502,141.1726610817557,,143.67609583673502
18-Mar-26,10.45,142.13,142.35,142.11,142.26,143.67326647442383,141.1726610817557,,143.67326647442383
18-Mar-26,10.50,142.22,142.3,142.14,142.15,143.67022298496445,141.1726610817557,,143.67022298496445
18-Mar-26,10.55,142.15,142.35,142.11,142.23,143.66734541656294,141.1726610817557,,143.66734541656294
18-Mar-26,11.00,142.12,142.23,142.08,142.13,143.66427379734904,141.1726610817557,,143.66427379734904
18-Mar-26,11.05,142.12,142.26,142.0,142.24,143.66142809545624,141.1726610817557,,143.66142809545624
18-Mar-26,11.10,142.19,142.33,142.05,142.3,143.6587079594014,141.1726610817557,,143.6587079594014
18-Mar-26,11.15,142.31,142.57,142.31,142.41,143.6562130384036,141.39092008189746,,143.6562130384036
18-Mar-26,11.20,142.45,142.45,142.25,142.4,143.65370312224294,141.39092008189746,,143.65370312224294
18-Mar-26,11.25,142.37,142.4,142.23,142.37,143.65113828083986,141.39092008189746,,143.65113828083986
18-Mar-26,11.30,142.37,142.41,142.35,142.35,143.64853860395507,141.50272073970325,,143.64853860395507
18-Mar-26,11.35,142.26,142.35,142.21,142.21,143.64566440095018,141.50272073970325,,143.64566440095018
18-Mar-26,11.40,142.26,142.39,142.11,142.11,143.6425961404088,141.50272073970325,,143.6425961404088
18-Mar-26,11.45,142.19,142.25,142.0,142.1,143.63951403023816,141.50272073970325,,143.63951403023816
18-Mar-26,11.50,142.02,142.02,141.8,141.81,143.63585865755036,141.50272073970325,,143.63585865755036
18-Mar-26,11.55,141.9,141.9,141.8,141.8,143.63219060828453,141.50272073970325,,143.63219060828453
18-Mar-26,12.00,141.7,141.79,141.7,141.74,143.62841000766858,141.50272073970325,,143.62841000766858
18-Mar-26,12.05,141.75,141.75,141.69,141.75,143.6246569407202,141.50272073970325,,143.6246569407202
18-Mar-26,12.10,141.74,141.75,141.69,141.69,143.6207914922872,141.50272073970325,,143.6207914922872
18-Mar-26,12.15,141.7,141.82,141.63,141.73,143.6170136871078,141.50272073970325,,143.6170136871078
18-Mar-26,12.20,141.75,141.82,141.73,141.82,143.6134232501705,141.50272073970325,,143.6134232501705
18-Mar-26,12.25,141.87,141.87,141.74,141.76,143.60972010681354,141.50272073970325,,143.60972010681354
18-Mar-26,12.30,141.76,141.8,141.74,141.74,143.6059844023044,141.50272073970325,,143.6059844023044
18-Mar-26,12.35,141.84,141.85,141.69,141.78,143.60233608182028,141.50272073970325,,143.60233608182028
18-Mar-26,12.40,141.8,141.84,141.67,141.75,143.59863511062784,141.50272073970325,,143.59863511062784
18-Mar-26,12.45,141.78,141.85,141.69,141.78,143.59500147404316,141.50272073970325,,143.59500147404316
18-Mar-26,12.50,141.8,141.88,141.7,141.81,143.5914350375316,141.50272073970325,,143.5914350375316
18-Mar-26,12.55,141.71,141.81,141.71,141.71,143.5876759265675,141.50272073970325,,143.5876759265675
18-Mar-26,13.00,141.71,141.85,141.71,141.85,143.58420404659435,141.50272073970325,,143.58420404659435
18-Mar-26,13.05,141.8,141.84,141.75,141.84,143.58071912342433,141.50272073970325,,143.58071912342433
18-Mar-26,13.10,141.8,142.24,141.76,142.15,143.57786054375714,141.50272073970325,,143.57786054375714
18-Mar-26,13.15,142.12,142.2,142.1,142.16,143.57502765555782,141.609064485772,,143.57502765555782
18-Mar-26,13.20,142.14,142.3,142.1,142.29,143.57246016773453,141.6531580371948,,143.57246016773453
18-Mar-26,13.25,142.29,142.29,141.85,141.85,143.56901868887792,141.6531580371948,,143.56901868887792
18-Mar-26,13.30,141.85,142.0,141.85,141.95,143.56578388630274,141.6531580371948,,143.56578388630274
18-Mar-26,13.35,141.95,142.16,141.9,142.15,143.56295514726918,141.6531580371948,,143.56295514726918
18-Mar-26,13.40,142.18,142.25,142.15,142.15,143.56013206006185,141.6531580371948,,143.56013206006185
18-Mar-26,13.45,142.15,142.18,141.85,141.85,143.556715212789,141.6531580371948,,143.556715212789
18-Mar-26,13.50,141.94,142.02,141.9,142.02,143.5536448527235,141.6531580371948,,143.5536448527235
18-Mar-26,13.55,142.0,142.14,141.93,142.1,143.55074046740333,141.6531580371948,,143.55074046740333
18-Mar-26,14.00,142.24,142.24,142.01,142.05,143.547741984951,141.6531580371948,,143.547741984951
18-Mar-26,14.05,142.04,142.04,141.77,141.94,143.5445297132528,141.6531580371948,,143.5445297132528
18-Mar-26,14.10,141.94,141.98,141.65,141.85,143.54114403950004,141.6531580371948,,143.54114403950004
18-Mar-26,14.15,141.77,141.89,141.71,141.8,143.53766523023032,141.6531580371948,,143.53766523023032
18-Mar-26,14.20,141.8,141.9,141.66,141.9,143.53439317182827,141.6531580371948,,143.53439317182827
18-Mar-26,14.25,141.9,141.95,141.52,141.63,143.53058819046598,,142.4536433191138,143.53058819046598
18-Mar-26,14.30,141.63,141.63,141.55,141.57,143.52667093134417,,142.27575108848217,143.52667093134417
18-Mar-26,14.35,141.57,141.57,141.35,141.36,143.52234191849433,,142.14317597963392,143.52234191849433
18-Mar-26,14.40,141.3,141.48,141.2,141.25,143.51780177480103,,142.03885838167054,143.51780177480103
18-Mar-26,14.45,141.25,141.55,141.25,141.43,143.51363034268354,,142.03885838167054,143.51363034268354
18-Mar-26,14.50,141.53,141.79,141.15,141.15,143.50890780453634,,142.03885838167054,143.50890780453634
18-Mar-26,14.55,141.15,141.19,141.15,141.19,143.50427462210968,,141.93716776023786,143.50427462210968
18-Mar-26,15.00,141.43,141.5,141.25,141.44,143.50015019729028,,141.93716776023786,143.50015019729028
18-Mar-26,15.05,141.44,141.44,141.26,141.32,143.49579425284014,,141.93716776023786,143.49579425284014
18-Mar-26,15.10,141.31,141.4,141.26,141.35,143.49150695163567,,141.93716776023786,143.49150695163567
18-Mar-26,15.15,141.35,141.35,141.01,141.06,143.48664879588816,,141.93467576749205,143.48664879588816
18-Mar-26,15.20,141.01,141.22,140.94,141.21,143.48210004704524,,141.84320819074284,143.48210004704524
18-Mar-26,15.25,141.25,141.5,141.03,141.12,143.47738056643175,,141.84320819074284,143.47738056643175
19-Mar-26,09.15,140.0,140.07,139.01,139.7,143.4698333525128,,140.9180986345017,143.4698333525128
19-Mar-26,09.20,139.51,139.84,139.2,139.84,143.46258093822206,,140.9180986345017,143.46258093822206
19-Mar-26,09.25,139.82,140.36,139.55,140.11,143.45588247480902,,140.9180986345017,143.45588247480902
19-Mar-26,09.30,140.09,140.18,139.77,139.95,143.44887771461958,,140.9180986345017,143.44887771461958
19-Mar-26,09.35,140.01,140.31,139.8,139.81,143.4416072296753,,140.9180986345017,143.4416072296753
19-Mar-26,09.40,139.88,139.88,139.3,139.31,143.43335227017545,,140.9180986345017,143.43335227017545
19-Mar-26,09.45,139.35,139.53,139.01,139.27,143.42503388402125,,140.8013814964182,143.42503388402125
19-Mar-26,09.50,139.27,139.6,139.01,139.37,143.416931918219,,140.8013814964182,143.416931918219
19-Mar-26,09.55,139.37,139.37,139.13,139.15,143.40840657972106,,140.72171901209876,143.40840657972106
19-Mar-26,10.00,139.2,139.35,139.09,139.26,143.40011805508624,,140.6225471108889,143.40011805508624
19-Mar-26,10.05,139.26,139.5,139.26,139.34,143.39200593110004,,140.6225471108889,143.39200593110004
19-Mar-26,10.10,139.28,139.51,139.28,139.49,143.3842097154535,,140.6225471108889,143.3842097154535
19-Mar-26,10.15,139.4,139.58,139.4,139.5,143.37644905668137,,140.6225471108889,143.37644905668137
19-Mar-26,10.20,139.45,139.57,139.31,139.55,143.36880380382087,,140.59518915945418,143.36880380382087
19-Mar-26,10.25,139.5,139.66,139.48,139.52,143.3611138861309,,140.59518915945418,143.3611138861309
19-Mar-26,10.30,139.58,139.9,139.58,139.9,143.3541985736711,,140.59518915945418,143.3541985736711
19-Mar-26,10.35,139.9,140.19,139.64,140.0,143.34749687821923,,140.59518915945418,143.34749687821923
19-Mar-26,10.40,139.97,140.0,139.65,139.75,143.34030907226875,,140.59518915945418,143.34030907226875
19-Mar-26,10.45,139.75,139.96,139.66,139.93,143.33349526792855,,140.59518915945418,143.33349526792855
19-Mar-26,10.50,139.83,139.94,139.83,139.89,143.3266151575031,,140.59518915945418,143.3266151575031
19-Mar-26,10.55,140.0,140.0,139.6,139.6,143.31916937297262,,140.59518915945418,143.31916937297262
19-Mar-26,11.00,139.6,139.7,139.55,139.57,143.31167852507457,,140.59518915945418,143.31167852507457
19-Mar-26,11.05,139.65,139.77,139.51,139.51,143.30408276378571,,140.59518915945418,143.30408276378571
19-Mar-26,11.10,139.58,139.8,139.51,139.6,143.2966819990229,,140.59518915945418,143.2966819990229
19-Mar-26,11.15,139.61,139.61,139.4,139.4,143.2888964206033,,140.43508629438642,143.2888964206033
19-Mar-26,11.20,139.49,139.65,139.4,139.63,143.2815859382444,,140.43508629438642,143.2815859382444
19-Mar-26,11.25,139.5,139.5,139.31,139.31,143.27365070160457,,140.321869898453,143.27365070160457
19-Mar-26,11.30,139.35,139.73,139.25,139.57,143.26625080010285,,140.321869898453,143.26625080010285
19-Mar-26,11.35,139.6,139.72,139.52,139.71,143.25914540389886,,140.321869898453,143.25914540389886
19-Mar-26,11.40,139.71,139.72,139.65,139.69,143.25201424425072,,140.321869898453,143.25201424425072
19-Mar-26,11.45,139.69,139.7,139.31,139.31,143.24413809191455,,140.321869898453,143.24413809191455
19-Mar-26,11.50,139.45,139.51,139.2,139.35,143.2363575962264,,140.2499309063375,143.2363575962264
