Date,Time,Open,High,Low,Close,VWAP
31-Dec-25,10.15,16713,16776,16696,16734,16102.691287817785
31-Dec-25,11.15,16734,16739,16637,16678,16103.94450769617
31-Dec-25,12.15,16678,16699,16660,16680,16105.14051833921
31-Dec-25,13.15,16678,16708,16637,16663,16106.656779012486
31-Dec-25,14.15,16660,16699,16639,16684,16108.820175927898
31-Dec-25,15.15,16683,16728,16681,16688,16109.679140750868
01-Jan-26,09.15,16707,16777,16670,16761,16736.0
01-Jan-26,10.15,16751,16775,16707,16775,16740.549047724096
01-Jan-26,11.15,16775,16798,16729,16746,16746.34462947088
01-Jan-26,12.15,16746,16765,16602,16680,16719.881047905365
01-Jan-26,13.15,16682,16739,16676,16734,16719.10749701614
01-Jan-26,14.15,16734,16740,16703,16717,16719.27975029087
01-Jan-26,15.15,16717,16726,16690,16713,16717.992235053352
02-Jan-26,09.15,16762,16998,16723,16976,16781.29064921633
02-Jan-26,10.15,16976,16997,16906,16923,16809.3088068164
02-Jan-26,11.15,16920,16984,16913,16981,16827.1619043141
02-Jan-26,12.15,16983,16999,16961,16981,16846.78565698365
02-Jan-26,13.15,16982,16992,16937,16944,16856.549681855504
02-Jan-26,14.15,16943,16971,16906,16956,16867.336398397965
02-Jan-26,15.15,16959,16980,16946,16970,16874.424972010827
05-Jan-26,09.15,16981,17216,16980,17215,16904.98098385367
05-Jan-26,10.15,17215,17370,17207,17312,16940.823943672087
05-Jan-26,11.15,17307,17326,17214,17220,16955.738948874437
05-Jan-26,12.15,17221,17297,17213,17224,16969.1172491971
05-Jan-26,13.15,17220,17235,17130,17151,16977.781358797994
05-Jan-26,14.15,17152,17210,17135,17154,16985.18151973564
05-Jan-26,15.15,17153,17170,17131,17170,16991.127204209166
06-Jan-26,09.15,17221,17270,17164,17210,17000.965204829557
06-Jan-26,10.15,17210,17229,17160,17167,17006.557318525247
06-Jan-26,11.15,17165,17215,17142,17205,17010.314429920523
06-Jan-26,12.15,17205,17255,17192,17235,17014.98490713813
06-Jan-26,13.15,17232,17263,17231,17241,17019.40390053462
06-Jan-26,14.15,17245,17306,17237,17271,17029.62217633694
06-Jan-26,15.15,17272,17297,17272,17289,17034.602375946273
07-Jan-26,09.15,17231,17249,17110,17152,17038.267219231268
07-Jan-26,10.15,17149,17159,17026,17030,17039.214839476812
07-Jan-26,11.15,17030,17064,17016,17024,17039.104122596884
07-Jan-26,12.15,17024,17027,16785,16793,17029.000659005724
07-Jan-26,13.15,16788,16788,16524,16670,16995.000733760928
07-Jan-26,14.15,16668,16870,16654,16816,16977.9924197876
07-Jan-26,15.15,16815,16815,16780,16806,16974.605118388743
08-Jan-26,09.15,16800,16800,16541,16660,16963.966989533244
08-Jan-26,10.15,16662,16735,16639,16690,16957.48687981423
08-Jan-26,11.15,16690,16735,16665,16699,16953.315737356083
08-Jan-26,12.15,16699,16718,16652,16658,16947.362858145872
08-Jan-26,13.15,16653,16683,16620,16666,16943.302507989527
08-Jan-26,14.15,16666,16689,16650,16667,16935.893315892474
08-Jan-26,15.15,16667,16673,16630,16639,16932.87685847976
09-Jan-26,09.15,16580,16704,16544,16554,16924.064362874546
09-Jan-26,10.15,16552,16565,16491,16518,16913.814469693123
09-Jan-26,11.15,16517,16529,16442,16478,16906.945193255557
09-Jan-26,12.15,16476,16483,16417,16433,16899.490953818437
09-Jan-26,13.15,16430,16521,16429,16500,16886.725509619035
09-Jan-26,14.15,16500,16530,16476,16501,16876.29198195142
09-Jan-26,15.15,16506,16511,16486,16500,16872.529488296463
12-Jan-26,09.15,16481,16512,16365,16378,16862.96281412059
12-Jan-26,10.15,16378,16415,16291,16306,16856.57738833996
12-Jan-26,11.15,16300,16358,16271,16358,16850.20074421688
12-Jan-26,12.15,16358,16549,16350,16542,16836.487928278122
12-Jan-26,13.15,16538,16572,16492,16527,16830.217681257036
12-Jan-26,14.15,16523,16615,16516,16557,16824.654910005167
12-Jan-26,15.15,16558,16610,16558,16605,16822.55177806711
13-Jan-26,09.15,16650,16726,16528,16563,16818.465990055323
13-Jan-26,10.15,16559,16648,16445,16482,16814.13305911509
13-Jan-26,11.15,16483,16515,16369,16376,16806.947267003437
13-Jan-26,12.15,16372,16413,16293,16367,16798.13333363105
13-Jan-26,13.15,16367,16383,16295,16323,16791.562728181616
13-Jan-26,14.15,16324,16449,16308,16428,16781.308813518615
13-Jan-26,15.15,16428,16430,16387,16394,16775.783951008576
14-Jan-26,09.15,16358,16412,16310,16360,16771.518006306243
14-Jan-26,10.15,16360,16390,16315,16324,16769.00617629052
14-Jan-26,11.15,16319,16356,16240,16266,16764.592218984555
14-Jan-26,12.15,16267,16354,16255,16261,16760.21946467794
14-Jan-26,13.15,16260,16266,16094,16145,16752.580940219872
14-Jan-26,14.15,16145,16195,16090,16154,16733.621988452007
14-Jan-26,15.15,16154,16160,16140,16148,16728.62876405965
16-Jan-26,09.15,15974,16197,15904,16081,16702.92416581084
16-Jan-26,10.15,16083,16169,16077,16100,16684.30901280806
16-Jan-26,11.15,16100,16114,15923,15955,16664.697237586173
16-Jan-26,12.15,15950,15998,15865,15879,16642.66414344828
16-Jan-26,13.15,15880,15882,15799,15830,16621.21162244045
16-Jan-26,14.15,15830,15871,15770,15849,16584.914696208245
16-Jan-26,15.15,15849,15891,15838,15877,16575.19560648264
19-Jan-26,09.15,15856,16074,15813,16057,16560.108478541093
19-Jan-26,10.15,16057,16110,16003,16075,16552.926767084467
19-Jan-26,11.15,16070,16124,16017,16117,16546.861626512775
19-Jan-26,12.15,16117,16193,16088,16189,16543.154938464326
19-Jan-26,13.15,16190,16242,16170,16185,16538.109120961934
19-Jan-26,14.15,16187,16201,16157,16180,16531.94123942098
19-Jan-26,15.15,16180,16189,16167,16182,16529.072214786887
20-Jan-26,09.15,16210,16233,15976,16051,16524.281515691768
20-Jan-26,10.15,16049,16113,16025,16045,16522.02001505821
20-Jan-26,11.15,16046,16105,16006,16052,16515.880092901807
20-Jan-26,12.15,16052,16052,15942,15959,16511.457276717585
20-Jan-26,13.15,15962,15988,15921,15953,16507.718804291286
20-Jan-26,14.15,15951,15985,15861,15874,16496.328231881696
20-Jan-26,15.15,15874,15914,15850,15912,16491.509074670983
21-Jan-26,09.15,15797,15973,15784,15828,16479.620173366504
21-Jan-26,10.15,15826,15837,15702,15757,16467.704266338067
21-Jan-26,11.15,15755,15786,15693,15762,16461.28917204429
21-Jan-26,12.15,15758,15850,15727,15756,16456.063138282556
21-Jan-26,13.15,15762,15781,15726,15744,16451.595001557056
21-Jan-26,14.15,15744,15803,15742,15754,16443.935223946257
21-Jan-26,15.15,15754,15826,15741,15821,16439.31151791877
22-Jan-26,09.15,15929,15971,15824,15873,16428.317942465354
22-Jan-26,10.15,15873,15901,15737,15750,16424.210665155228
22-Jan-26,11.15,15752,15786,15714,15759,16417.412969274592
22-Jan-26,12.15,15761,15827,15745,15780,16411.191143634394
22-Jan-26,13.15,15777,15789,15726,15737,16407.466661489165
22-Jan-26,14.15,15735,15811,15717,15761,16397.20150607521
22-Jan-26,15.15,15760,15787,15735,15735,16393.513933124705
23-Jan-26,09.15,15802,15846,15702,15746,16388.844723036556
23-Jan-26,10.15,15744,15783,15594,15615,16384.19059393408
23-Jan-26,11.15,15615,15628,15497,15512,16374.439275137816
23-Jan-26,12.15,15511,15519,15451,15482,16365.443510181483
23-Jan-26,13.15,15482,15507,15458,15480,16355.626179046236
23-Jan-26,14.15,15481,15541,15439,15450,16342.655994503792
23-Jan-26,15.15,15450,15519,15450,15511,16338.406669484324
27-Jan-26,09.15,15300,15387,15013,15218,16306.660813875096
27-Jan-26,10.15,15214,15244,15015,15062,16285.380800894
27-Jan-26,11.15,15068,15203,15058,15156,16274.792692038533
27-Jan-26,12.15,15154,15202,15127,15199,16266.08533088955
27-Jan-26,13.15,15199,15246,15134,15138,16257.331422027251
27-Jan-26,14.15,15136,15262,15122,15255,16234.054862696164
27-Jan-26,15.15,15257,15299,15237,15237,16226.545047457852
28-Jan-26,09.15,15169,15172,14845,14908,16174.67866460009
28-Jan-26,10.15,14907,14966,14813,14956,16140.77675054814
28-Jan-26,11.15,14953,14970,14879,14945,16125.5076357521
28-Jan-26,12.15,14946,15075,14920,15045,16110.156044772852
28-Jan-26,13.15,15045,15132,14508,14510,16073.739302152311
28-Jan-26,14.15,14505,15294,14431,14879,15951.52937616802
28-Jan-26,15.15,14879,14887,14800,14880,15938.816382723026
29-Jan-26,09.15,14728,14728,14353,14505,15886.235528497104
29-Jan-26,10.15,14505,14550,14421,14494,15867.640943343771
29-Jan-26,11.15,14497,14516,14438,14502,15857.28726750122
29-Jan-26,12.15,14500,14502,14452,14462,15849.8653280198
29-Jan-26,13.15,14462,14539,14438,14511,15836.22090150804
