Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100,EMA 200
23-Mar-26,12.39,131.3,131.43,131.24,131.4,133.83149085658968,,131.65328198125633,139.90627182307037,133.83149085658968
23-Mar-26,12.42,131.35,131.39,131.25,131.35,133.78235242378594,,131.65328198125633,139.88917637487242,133.78235242378594
23-Mar-26,12.45,131.23,131.34,131.2,131.2,133.73121673222582,,131.65328198125633,139.87181538311444,133.73121673222582
23-Mar-26,12.48,131.27,131.36,131.2,131.21,133.68129164841935,,131.65328198125633,139.85450905867265,133.68129164841935
23-Mar-26,12.51,131.34,131.38,131.22,131.38,133.63572151676752,,131.65328198125633,139.83757697264133,133.63572151676752
23-Mar-26,12.54,131.42,131.42,131.2,131.25,133.5884795065345,,131.65328198125633,139.820418976692,133.5884795065345
23-Mar-26,12.57,131.28,131.29,131.2,131.28,133.54276704105857,,131.65328198125633,139.8033552025128,133.54276704105857
23-Mar-26,13.00,131.25,131.25,131.01,131.11,133.49459343628513,,131.65328198125633,139.78598586144884,133.49459343628513
23-Mar-26,13.03,131.13,131.13,131.0,131.12,133.44757178408148,,131.6071039362838,139.768671204383,133.44757178408148
23-Mar-26,13.06,131.2,131.2,131.1,131.1,133.40108521409965,,131.6071039362838,139.75135118199665,133.40108521409965
23-Mar-26,13.09,131.21,131.21,131.1,131.15,133.35650926926598,,131.6071039362838,139.73416566514948,133.35650926926598
23-Mar-26,13.12,131.1,131.15,130.5,130.55,133.30093482829042,,131.46919376955088,139.7158156838005,133.30093482829042
23-Mar-26,13.15,130.55,131.01,130.55,131.0,133.25537176238367,,131.46919376955088,139.69840146665007,133.25537176238367
23-Mar-26,13.18,131.1,131.1,130.58,130.58,133.2023941037226,,131.46919376955088,139.68018288230112,133.2023941037226
23-Mar-26,13.21,130.69,130.77,130.65,130.65,133.15185164622315,,131.46919376955088,139.66214055885996,133.15185164622315
23-Mar-26,13.24,130.81,130.82,130.7,130.74,133.1040922076841,,131.46919376955088,139.6443141041969,133.1040922076841
23-Mar-26,13.27,130.78,130.85,130.7,130.8,133.0584666194131,,131.46919376955088,139.62664314694575,133.0584666194131
23-Mar-26,13.30,130.94,130.94,130.71,130.92,133.01612074576136,,131.46919376955088,139.60924725654226,133.01612074576136
23-Mar-26,13.33,130.95,131.05,130.79,131.02,132.97659360228093,,131.46919376955088,139.59208592336236,132.97659360228093
23-Mar-26,13.36,131.03,131.5,131.02,131.3,132.94339372896843,,131.46919376955088,139.57551831911988,132.94339372896843
