time,open,high,low,close,Up Trend,Down Trend,EMA,EMA
2026-03-19T11:57:00+05:30,139.36,139.51,139.21,139.5,,139.93241977100604,141.8775907293091,140.24385975302175
2026-03-19T12:00:00+05:30,139.54,139.57,139.4,139.55,,139.93241977100604,141.87294019838143,140.23011995593222
2026-03-19T12:03:00+05:30,139.53,139.53,139.42,139.49,,139.93241977100604,141.86817907910395,140.2154641152207
2026-03-19T12:06:00+05:30,139.49,139.6,139.4,139.48,,139.93241977100604,141.8634074925323,140.20090046937474
2026-03-19T12:09:00+05:30,139.48,139.5,139.41,139.41,,139.93241977100604,141.8585055794603,140.18523907394157
2026-03-19T12:12:00+05:30,139.48,139.51,139.41,139.51,,139.93241977100604,141.85381326062023,140.17186800317046
2026-03-19T12:15:00+05:30,139.52,139.6,139.47,139.47,,139.93241977100604,141.84905039696264,140.15796962687006
2026-03-19T12:18:00+05:30,139.44,139.5,139.42,139.49,,139.93241977100604,141.8443370095561,140.1447425055459
2026-03-19T12:21:00+05:30,139.49,139.49,139.41,139.41,,139.91761811297928,141.8394731993472,140.13019314900043
2026-03-19T12:24:00+05:30,139.41,139.45,139.3,139.31,,139.84085630168136,141.834419306841,140.11395170050537
2026-03-19T12:27:00+05:30,139.3,139.39,139.3,139.39,,139.79127067151322,141.82953535218198,140.09961602326763
2026-03-19T12:30:00+05:30,139.4,139.4,139.33,139.4,,139.7876436043619,141.8246811356941,140.08576224062867
2026-03-19T12:33:00+05:30,139.35,139.4,139.31,139.4,,139.76237924392572,141.81983661794047,140.0721827903192
2026-03-19T12:36:00+05:30,139.4,139.45,139.34,139.45,,139.76237924392572,141.81510167964288,140.05986233902576
2026-03-19T12:39:00+05:30,139.43,139.43,139.4,139.43,,139.76237924392572,141.8103362417215,140.0473898174609
2026-03-19T12:42:00+05:30,139.4,139.45,139.28,139.28,,139.75320946882184,141.80528062485493,140.03219397949138
2026-03-19T12:45:00+05:30,139.41,139.42,139.33,139.33,,139.75320946882184,141.80033500922084,140.01828914821434
2026-03-19T12:48:00+05:30,139.44,139.5,139.3,139.5,,139.75320946882184,141.79573893527635,140.00802599676456
