time,open,high,low,close,VWAP
2025-12-30T10:15:00+05:30,16629,16818,16621,16686,16075.322505304055
2025-12-30T11:15:00+05:30,16686,16706,16648,16660,16077.882989994732
2025-12-30T12:15:00+05:30,16661,16672,16615,16640,16079.910050507338
2025-12-30T13:15:00+05:30,16634,16697,16613,16656,16083.179408844671
2025-12-30T14:15:00+05:30,16662,16771,16629,16639,16094.684384191709
2025-12-30T15:15:00+05:30,16639,16667,16548,16625,16100.913829335055
2025-12-31T09:15:00+05:30,16647,16730,16628,16712,16101.81134860243
2025-12-31T10:15:00+05:30,16713,16776,16696,16734,16102.691287817783
2025-12-31T11:15:00+05:30,16734,16739,16637,16678,16103.94450769617
2025-12-31T12:15:00+05:30,16678,16699,16660,16680,16105.14051833921
2025-12-31T13:15:00+05:30,16678,16708,16637,16663,16106.656779012486
2025-12-31T14:15:00+05:30,16660,16699,16639,16684,16108.820175927898
2025-12-31T15:15:00+05:30,16683,16728,16681,16688,16109.679140750868
2026-01-01T09:15:00+05:30,16707,16777,16670,16761,16736
2026-01-01T10:15:00+05:30,16751,16775,16707,16775,16740.549047724096
2026-01-01T11:15:00+05:30,16775,16798,16729,16746,16746.34462947088
2026-01-01T12:15:00+05:30,16746,16765,16602,16680,16719.881047905365
2026-01-01T13:15:00+05:30,16682,16739,16676,16734,16719.10749701614
2026-01-01T14:15:00+05:30,16734,16740,16703,16717,16719.27975029087
2026-01-01T15:15:00+05:30,16717,16726,16690,16713,16717.992235053352
2026-01-02T09:15:00+05:30,16762,16998,16723,16976,16781.29064921633
2026-01-02T10:15:00+05:30,16976,16997,16906,16923,16809.3088068164
2026-01-02T11:15:00+05:30,16920,16984,16913,16981,16827.1619043141
2026-01-02T12:15:00+05:30,16983,16999,16961,16981,16846.78565698365
2026-01-02T13:15:00+05:30,16982,16992,16937,16944,16856.549681855504
2026-01-02T14:15:00+05:30,16943,16971,16906,16956,16867.336398397965
2026-01-02T15:15:00+05:30,16959,16980,16946,16970,16874.424972010827
2026-01-05T09:15:00+05:30,16981,17216,16980,17215,16904.98098385367
2026-01-05T10:15:00+05:30,17215,17370,17207,17312,16940.823943672087
2026-01-05T11:15:00+05:30,17307,17326,17214,17220,16955.738948874437
2026-01-05T12:15:00+05:30,17221,17297,17213,17224,16969.1172491971
2026-01-05T13:15:00+05:30,17220,17235,17130,17151,16977.781358797994
2026-01-05T14:15:00+05:30,17152,17210,17135,17154,16985.18151973564
2026-01-05T15:15:00+05:30,17153,17170,17131,17170,16991.127204209166
2026-01-06T09:15:00+05:30,17221,17270,17164,17210,17000.965204829557
2026-01-06T10:15:00+05:30,17210,17229,17160,17167,17006.557318525247
2026-01-06T11:15:00+05:30,17165,17215,17142,17205,17010.314429920523
2026-01-06T12:15:00+05:30,17205,17255,17192,17235,17014.98490713813
2026-01-06T13:15:00+05:30,17232,17263,17231,17241,17019.40390053462
2026-01-06T14:15:00+05:30,17245,17306,17237,17271,17029.62217633694
2026-01-06T15:15:00+05:30,17272,17297,17272,17289,17034.602375946273
2026-01-07T09:15:00+05:30,17231,17249,17110,17152,17038.267219231268
2026-01-07T10:15:00+05:30,17149,17159,17026,17030,17039.214839476812
2026-01-07T11:15:00+05:30,17030,17064,17016,17024,17039.104122596884
2026-01-07T12:15:00+05:30,17024,17027,16785,16793,17029.000659005724
2026-01-07T13:15:00+05:30,16788,16788,16524,16670,16995.000733760928
2026-01-07T14:15:00+05:30,16668,16870,16654,16816,16977.9924197876
2026-01-07T15:15:00+05:30,16815,16815,16780,16806,16974.605118388743
2026-01-08T09:15:00+05:30,16800,16800,16541,16660,16963.966989533244
2026-01-08T10:15:00+05:30,16662,16735,16639,16690,16957.48687981423
2026-01-08T11:15:00+05:30,16690,16735,16665,16699,16953.315737356083
2026-01-08T12:15:00+05:30,16699,16718,16652,16658,16947.362858145872
2026-01-08T13:15:00+05:30,16653,16683,16620,16666,16943.302507989527
2026-01-08T14:15:00+05:30,16666,16689,16650,16667,16935.893315892474
2026-01-08T15:15:00+05:30,16667,16673,16630,16639,16932.87685847976
2026-01-09T09:15:00+05:30,16580,16704,16544,16554,16924.064362874546
2026-01-09T10:15:00+05:30,16552,16565,16491,16518,16913.814469693123
2026-01-09T11:15:00+05:30,16517,16529,16442,16478,16906.945193255557
2026-01-09T12:15:00+05:30,16476,16483,16417,16433,16899.490953818437
2026-01-09T13:15:00+05:30,16430,16521,16429,16500,16886.725509619035
2026-01-09T14:15:00+05:30,16500,16530,16476,16501,16876.29198195142
2026-01-09T15:15:00+05:30,16506,16511,16486,16500,16872.529488296463
2026-01-12T09:15:00+05:30,16481,16512,16365,16378,16862.96281412059
2026-01-12T10:15:00+05:30,16378,16415,16291,16306,16856.57738833996
2026-01-12T11:15:00+05:30,16300,16358,16271,16358,16850.20074421688
2026-01-12T12:15:00+05:30,16358,16549,16350,16542,16836.487928278122
2026-01-12T13:15:00+05:30,16538,16572,16492,16527,16830.217681257036
2026-01-12T14:15:00+05:30,16523,16615,16516,16557,16824.654910005167
2026-01-12T15:15:00+05:30,16558,16610,16558,16605,16822.55177806711
2026-01-13T09:15:00+05:30,16650,16726,16528,16563,16818.465990055323
2026-01-13T10:15:00+05:30,16559,16648,16445,16482,16814.13305911509
2026-01-13T11:15:00+05:30,16483,16515,16369,16376,16806.947267003437
2026-01-13T12:15:00+05:30,16372,16413,16293,16367,16798.13333363105
2026-01-13T13:15:00+05:30,16367,16383,16295,16323,16791.562728181616
2026-01-13T14:15:00+05:30,16324,16449,16308,16428,16781.308813518615
2026-01-13T15:15:00+05:30,16428,16430,16387,16394,16775.783951008576
2026-01-14T09:15:00+05:30,16358,16412,16310,16360,16771.518006306243
2026-01-14T10:15:00+05:30,16360,16390,16315,16324,16769.00617629052
2026-01-14T11:15:00+05:30,16319,16356,16240,16266,16764.592218984555
2026-01-14T12:15:00+05:30,16267,16354,16255,16261,16760.21946467794
2026-01-14T13:15:00+05:30,16260,16266,16094,16145,16752.580940219872
2026-01-14T14:15:00+05:30,16145,16195,16090,16154,16733.621988452007
2026-01-14T15:15:00+05:30,16154,16160,16140,16148,16728.62876405965
2026-01-16T09:15:00+05:30,15974,16197,15904,16081,16702.92416581084
2026-01-16T10:15:00+05:30,16083,16169,16077,16100,16684.30901280806
2026-01-16T11:15:00+05:30,16100,16114,15923,15955,16664.697237586173
2026-01-16T12:15:00+05:30,15950,15998,15865,15879,16642.66414344828
2026-01-16T13:15:00+05:30,15880,15882,15799,15830,16621.21162244045
2026-01-16T14:15:00+05:30,15830,15871,15770,15849,16584.914696208245
2026-01-16T15:15:00+05:30,15849,15891,15838,15877,16575.19560648264
2026-01-19T09:15:00+05:30,15856,16074,15813,16057,16560.108478541093
2026-01-19T10:15:00+05:30,16057,16110,16003,16075,16552.926767084467
2026-01-19T11:15:00+05:30,16070,16124,16017,16117,16546.861626512775
2026-01-19T12:15:00+05:30,16117,16193,16088,16189,16543.154938464326
2026-01-19T13:15:00+05:30,16190,16242,16170,16185,16538.109120961934
2026-01-19T14:15:00+05:30,16187,16201,16157,16180,16531.94123942098
2026-01-19T15:15:00+05:30,16180,16189,16167,16182,16529.072214786887
2026-01-20T09:15:00+05:30,16210,16233,15976,16051,16524.281515691768
2026-01-20T10:15:00+05:30,16049,16113,16025,16045,16522.02001505821
2026-01-20T11:15:00+05:30,16046,16105,16006,16052,16515.880092901807
2026-01-20T12:15:00+05:30,16052,16052,15942,15959,16511.457276717585
2026-01-20T13:15:00+05:30,15962,15988,15921,15953,16507.718804291286
2026-01-20T14:15:00+05:30,15951,15985,15861,15874,16496.328231881696
2026-01-20T15:15:00+05:30,15874,15914,15850,15912,16491.509074670983
2026-01-21T09:15:00+05:30,15797,15973,15784,15828,16479.620173366504
2026-01-21T10:15:00+05:30,15826,15837,15702,15757,16467.704266338067
2026-01-21T11:15:00+05:30,15755,15786,15693,15762,16461.28917204429
2026-01-21T12:15:00+05:30,15758,15850,15727,15756,16456.063138282556
2026-01-21T13:15:00+05:30,15762,15781,15726,15744,16451.595001557056
2026-01-21T14:15:00+05:30,15744,15803,15742,15754,16443.935223946257
2026-01-21T15:15:00+05:30,15754,15826,15741,15821,16439.31151791877
2026-01-22T09:15:00+05:30,15929,15971,15824,15873,16428.317942465354
2026-01-22T10:15:00+05:30,15873,15901,15737,15750,16424.210665155228
2026-01-22T11:15:00+05:30,15752,15786,15714,15759,16417.412969274592
2026-01-22T12:15:00+05:30,15761,15827,15745,15780,16411.191143634394
2026-01-22T13:15:00+05:30,15777,15789,15726,15737,16407.466661489165
2026-01-22T14:15:00+05:30,15735,15811,15717,15761,16397.20150607521
2026-01-22T15:15:00+05:30,15760,15787,15735,15735,16393.513933124705
2026-01-23T09:15:00+05:30,15802,15846,15702,15746,16388.844723036556
2026-01-23T10:15:00+05:30,15744,15783,15594,15615,16384.19059393408
2026-01-23T11:15:00+05:30,15615,15628,15497,15512,16374.439275137815
2026-01-23T12:15:00+05:30,15511,15519,15451,15482,16365.443510181485
2026-01-23T13:15:00+05:30,15482,15507,15458,15480,16355.626179046236
2026-01-23T14:15:00+05:30,15481,15541,15439,15450,16342.655994503793
2026-01-23T15:15:00+05:30,15450,15519,15450,15511,16338.406669484324
2026-01-27T09:15:00+05:30,15300,15387,15013,15218,16306.660813875096
2026-01-27T10:15:00+05:30,15214,15244,15015,15062,16285.380800894001
2026-01-27T11:15:00+05:30,15068,15203,15058,15156,16274.792692038533
2026-01-27T12:15:00+05:30,15154,15202,15127,15199,16266.08533088955
2026-01-27T13:15:00+05:30,15199,15246,15134,15138,16257.331422027251
2026-01-27T14:15:00+05:30,15136,15262,15122,15255,16234.054862696163
2026-01-27T15:15:00+05:30,15257,15299,15237,15237,16226.545047457852
2026-01-28T09:15:00+05:30,15169,15172,14845,14908,16174.67866460009
2026-01-28T10:15:00+05:30,14907,14966,14813,14956,16140.776750548139
2026-01-28T11:15:00+05:30,14953,14970,14879,14945,16125.507635752101
2026-01-28T12:15:00+05:30,14946,15075,14920,15045,16110.156044772852
2026-01-28T13:15:00+05:30,15045,15132,14508,14510,16073.739302152311
2026-01-28T14:15:00+05:30,14505,15294,14431,14879,15951.52937616802
2026-01-28T15:15:00+05:30,14879,14887,14800,14880,15938.816382723026
2026-01-29T09:15:00+05:30,14728,14728,14353,14505,15886.235528497104
2026-01-29T10:15:00+05:30,14505,14550,14421,14494,15867.640943343771
2026-01-29T11:15:00+05:30,14497,14516,14438,14502,15857.28726750122
2026-01-29T12:15:00+05:30,14500,14502,14452,14462,15849.865328019801
2026-01-29T13:15:00+05:30,14462,14539,14438,14511,15836.22090150804
2026-01-29T14:15:00+05:30,14509,14539,14480,14496,15820.234526354914
2026-01-29T15:15:00+05:30,14496,14508,14475,14484,15812.54402527231
2026-01-30T09:15:00+05:30,14472,14679,14349,14425,15763.933963600952
2026-01-30T10:15:00+05:30,14422,14426,14354,14363,15748.586948042679
2026-01-30T11:15:00+05:30,14363,14412,14300,14409,15723.695274699783
2026-01-30T12:15:00+05:30,14409,14499,14409,14457,15714.41043327577
2026-01-30T13:15:00+05:30,14459,14630,14433,14595,15705.79067877246
2026-01-30T14:15:00+05:30,14601,14650,14537,14586,15683.372686410405
2026-01-30T15:15:00+05:30,14587,14635,14559,14580,15673.93925433821
2026-02-01T09:15:00+05:30,14663,14767,14500,14725,15670.597638328152
2026-02-01T10:15:00+05:30,14724,14796,14714,14765,15668.128032709572
2026-02-01T11:15:00+05:30,14767,14795,14191,14543,15657.407624046667
2026-02-01T12:15:00+05:30,14545,14558,14250,14347,15648.337766382154
2026-02-01T13:15:00+05:30,14355,14411,14229,14270,15640.885748249118
2026-02-01T14:15:00+05:30,14271,14331,14151,14160,15626.461027765801
2026-02-01T15:15:00+05:30,14162,14194,14136,14180,15620.040359307473
2026-02-02T09:15:00+05:30,14211,14283,14110,14178,15598.574356808449
2026-02-02T10:15:00+05:30,14177,14221,14058,14086,15584.088327308686
2026-02-02T11:15:00+05:30,14086,14265,14078,14265,15575.649162652373
2026-02-02T12:15:00+05:30,14267,14285,14194,14246,15570.647531535415
2026-02-02T13:15:00+05:30,14249,14253,14190,14212,15558.416993972316
2026-02-02T14:15:00+05:30,14214,14380,14213,14379,15539.611406092856
2026-02-02T15:15:00+05:30,14375,14446,14368,14378,15534.561330304869
2026-02-03T09:15:00+05:30,15210,15281,14482,14550,15519.789117076498
2026-02-03T10:15:00+05:30,14562,14684,14556,14664,15513.46791671269
2026-02-03T11:15:00+05:30,14661,14875,14620,14870,15505.904395249068
2026-02-03T12:15:00+05:30,14866,14889,14808,14837,15503.31649573573
2026-02-03T13:15:00+05:30,14843,14898,14753,14756,15498.596550077566
